id_depto_indec_residencia;departamento_residencia;id_prov_indec_residencia;provincia_residencia;anio_min;evento;id_grupo_etario;grupo_etario;sepi_min;cantidad
182;Coronel de Marina L. Rosales;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;5;2
063;La Capital;82;Santa Fe;2024;Dengue;3;De 13 a 24 meses;6;1
014;Bermejo;22;Chaco;2024;Dengue;4;De 2 a 4 años;11;1
805;Tigre;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;3;2
049;Ischilín;14;Córdoba;2024;Dengue;5;De 5 a 9 años;20;1
028;Lago Argentino;78;Santa Cruz;2024;Dengue;9;De 25 a 34 años;8;1
693;Roque Pérez;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;3;1
147;San Martín;18;Corrientes;2024;Dengue;11;De 45 a 65 años;8;1
182;Unión;14;Córdoba;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);13;2
084;Libertador General San Martín;22;Chaco;2024;Dengue;10;De 35 a 44 años;20;1
133;Rivadavia;66;Salta;2024;Dengue;6;De 10 a 14 años;19;2
042;General San Martín;14;Córdoba;2024;Dengue;8;De 20 a 24 años;4;1
595;Olavarría;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;9;1
014;Bermejo;22;Chaco;2024;Dengue;7;De 15 a 19 años;5;1
168;25 de Mayo;22;Chaco;2024;Dengue;8;De 20 a 24 años;12;1
042;General San Martín;14;Córdoba;2024;Dengue;9;De 25 a 34 años;19;6
056;Pirané;34;Formosa;2024;Dengue;9;De 25 a 34 años;2;30
049;Capital;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;18;108
028;Almirante Brown;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;13;64
021;Chicligasta;90;Tucumán;2024;Dengue;6;De 10 a 14 años;14;10
658;Quilmes;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;14;94
182;Unión;14;Córdoba;2024;Dengue;7;De 15 a 19 años;12;79
434;Lanús;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;12;112
999;desconocido;02;CABA;2024;Dengue;10;De 35 a 44 años;8;4
084;Rosario;82;Santa Fe;2024;Dengue;6;De 10 a 14 años;11;201
005;COMUNA 5;02;CABA;2024;Dengue;12;Mayores de 65 años;13;11
568;Morón;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;21
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;9;9
042;Pilagás;34;Formosa;2024;Dengue;8;De 20 a 24 años;1;7
077;9 de Julio;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;10;16
084;Rivadavia;70;San Juan;2024;Dengue;11;De 45 a 65 años;16;12
035;Ledesma;38;Jujuy;2024;Dengue;10;De 35 a 44 años;4;1
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;11;57
056;Iriondo;82;Santa Fe;2024;Dengue;5;De 5 a 9 años;17;2
007;Río Grande;94;Tierra del Fuego;2024;Dengue;10;De 35 a 44 años;16;1
105;Loreto;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;16;1
091;Simoca;90;Tucumán;2024;Dengue;6;De 10 a 14 años;10;1
098;Río Cuarto;14;Córdoba;2024;Dengue;9;De 25 a 34 años;6;1
105;San Rafael;50;Mendoza;2024;Dengue;9;De 25 a 34 años;10;1
007;Adolfo Alsina;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;14;1
070;Monteros;90;Tucumán;2024;Dengue;1;Neonato (hasta 28 dÍas);15;1
007;Capital;50;Mendoza;2024;Dengue;6;De 10 a 14 años;10;1
638;Pilar;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;2;1
189;Coronel Dorrego;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;11;1
119;Río Segundo;14;Córdoba;2024;Dengue;11;De 45 a 65 años;18;25
119;Yerba Buena;90;Tucumán;2024;Dengue;11;De 45 a 65 años;4;5
049;Capital;10;Catamarca;2024;Dengue;6;De 10 a 14 años;10;63
805;Tigre;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;2;2
014;Formosa;34;Formosa;2024;Dengue;9;De 25 a 34 años;12;14
042;Eldorado;54;Misiones;2024;Dengue;8;De 20 a 24 años;14;5
175;San Martín;86;Santiago del Estero;2024;Dengue;9;De 25 a 34 años;15;1
035;Patiño;34;Formosa;2024;Dengue;6;De 10 a 14 años;6;10
560;Moreno;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;10;160
011;COMUNA 11;02;CABA;2024;Dengue;10;De 35 a 44 años;14;16
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;15;41
161;Tapenagá;22;Chaco;2024;Dengue;9;De 25 a 34 años;7;4
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;8;40
021;Cafayate;66;Salta;2024;Dengue;10;De 35 a 44 años;18;2
861;Vicente López;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;7;22
070;Las Colonias;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;14;31
161;Robles;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;7;13
084;Libertador General San Martín;22;Chaco;2024;Dengue;4;De 2 a 4 años;4;4
021;Colón;14;Córdoba;2024;Dengue;9;De 25 a 34 años;5;1
035;Banda;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;8;11
126;San Alberto;14;Córdoba;2024;Dengue;9;De 25 a 34 años;17;17
056;Pirané;34;Formosa;2024;Dengue;7;De 15 a 19 años;3;15
042;Eldorado;54;Misiones;2024;Dengue;5;De 5 a 9 años;12;24
140;San Justo;14;Córdoba;2024;Dengue;11;De 45 a 65 años;8;101
021;Güer Aike;78;Santa Cruz;2024;Dengue;11;De 45 a 65 años;1;2
028;Almirante Brown;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;13;38
007;COMUNA 7;02;CABA;2024;Dengue;5;De 5 a 9 años;11;6
063;La Capital;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;9;32
532;Mercedes;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;15;2
007;Bella Vista;18;Corrientes;2024;Dengue;9;De 25 a 34 años;15;12
021;Laishi;34;Formosa;2024;Dengue;6;De 10 a 14 años;3;5
427;La Matanza;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;11;59
434;Lanús;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;10;165
056;Guaraní;54;Misiones;2024;Dengue;9;De 25 a 34 años;2;1
805;Tigre;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;6;4
861;Vicente López;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;8;37
515;Malvinas Argentinas;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;14;19
015;Concordia;30;Entre Ríos;2024;Dengue;7;De 15 a 19 años;13;12
686;Rojas;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;11;1
126;San Martín;82;Santa Fe;2024;Dengue;11;De 45 a 65 años;8;15
084;Libertador General San Martín;22;Chaco;2024;Dengue;9;De 25 a 34 años;20;10
021;Castro Barros;46;La Rioja;2024;Dengue;4;De 2 a 4 años;13;1
154;Sargento Cabral;22;Chaco;2024;Dengue;10;De 35 a 44 años;6;10
412;José C. Paz;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;5;5
140;Rosario de la Frontera;66;Salta;2024;Dengue;6;De 10 a 14 años;10;4
028;Coronel Felipe Varela;46;La Rioja;2024;Dengue;9;De 25 a 34 años;8;1
049;General Manuel Belgrano;54;Misiones;2024;Dengue;11;De 45 a 65 años;17;4
049;Pilcomayo;34;Formosa;2024;Dengue;10;De 35 a 44 años;18;3
042;General San Martín;14;Córdoba;2024;Dengue;5;De 5 a 9 años;4;1
756;San Isidro;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;4;7
084;Paraná;30;Entre Ríos;2024;Dengue;5;De 5 a 9 años;20;2
001;COMUNA 1;02;CABA;2024;Dengue;3;De 13 a 24 meses;15;2
161;Robles;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;4;5
021;Güer Aike;78;Santa Cruz;2024;Dengue;9;De 25 a 34 años;3;3
028;Capital;66;Salta;2024;Dengue;4;De 2 a 4 años;13;7
105;Independencia;46;La Rioja;2024;Dengue;5;De 5 a 9 años;13;1
028;Famaillá;90;Tucumán;2024;Dengue;11;De 45 a 65 años;17;6
126;Orán;66;Salta;2024;Dengue;8;De 20 a 24 años;17;1
182;Unión;14;Córdoba;2024;Dengue;10;De 35 a 44 años;9;11
497;Luján;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;17;1
119;Yerba Buena;90;Tucumán;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);13;2
084;Guasayán;86;Santiago del Estero;2024;Dengue;10;De 35 a 44 años;14;2
623;Pergamino;06;Buenos Aires;2024;Dengue;6;De 10 a 14 años;18;1
098;Uruguay;30;Entre Ríos;2024;Dengue;8;De 20 a 24 años;11;3
014;Cainguás;54;Misiones;2024;Dengue;2;Posneonato (29 hasta 365 dÍas);9;2
539;Merlo;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;20;8
028;Federación;30;Entre Ríos;2024;Dengue;11;De 45 a 65 años;7;22
175;Colón;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;14;11
147;Río Hondo;86;Santiago del Estero;2024;Dengue;7;De 15 a 19 años;18;1
098;Tafí del Valle;90;Tucumán;2024;Dengue;7;De 15 a 19 años;11;2
763;San Nicolás;06;Buenos Aires;2024;Dengue;8;De 20 a 24 años;14;1
007;Capital;50;Mendoza;2024;Dengue;4;De 2 a 4 años;14;3
245;Ensenada;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;11;1
007;Anta;66;Salta;2024;Dengue;10;De 35 a 44 años;2;2
015;Concordia;30;Entre Ríos;2024;Dengue;3;De 13 a 24 meses;13;1
168;Santo Tomé;18;Corrientes;2024;Dengue;11;De 45 a 65 años;18;6
063;Fray Mamerto Esquiú;10;Catamarca;2024;Dengue;11;De 45 a 65 años;10;3
140;Toay;42;La Pampa;2024;Dengue;10;De 35 a 44 años;15;1
161;Robles;86;Santiago del Estero;2024;Dengue;9;De 25 a 34 años;18;9
133;Vera;82;Santa Fe;2024;Dengue;10;De 35 a 44 años;15;3
008;COMUNA 8;02;CABA;2024;Dengue;7;De 15 a 19 años;15;8
077;Rawson;26;Chubut;2024;Dengue;9;De 25 a 34 años;12;1
056;Pirané;34;Formosa;2024;Dengue;12;Mayores de 65 años;7;22
021;Comandante Fernández;22;Chaco;2024;Dengue;5;De 5 a 9 años;4;11
035;Graneros;90;Tucumán;2024;Dengue;7;De 15 a 19 años;11;2
105;Victoria;30;Entre Ríos;2024;Dengue;9;De 25 a 34 años;10;2
007;Bermejo;34;Formosa;2024;Dengue;9;De 25 a 34 años;7;1
002;COMUNA 2;02;CABA;2024;Dengue;9;De 25 a 34 años;14;10
056;La Capital;74;San Luis;2024;Dengue;11;De 45 a 65 años;8;3
119;Paso de los Libres;18;Corrientes;2024;Dengue;9;De 25 a 34 años;12;6
105;San Jerónimo;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;14;2
112;Rosario Vera Peñaloza;46;La Rioja;2024;Dengue;7;De 15 a 19 años;17;1
270;Ezeiza;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;13;11
133;Vera;82;Santa Fe;2024;Dengue;12;Mayores de 65 años;15;2
049;Esquina;18;Corrientes;2024;Dengue;11;De 45 a 65 años;13;1
035;Confluencia;58;Neuquén;2024;Dengue;9;De 25 a 34 años;9;2
133;Rivadavia;66;Salta;2024;Dengue;5;De 5 a 9 años;10;1
021;Cafayate;66;Salta;2024;Dengue;6;De 10 a 14 años;13;1
539;Merlo;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;16;27
490;Lomas de Zamora;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;10;40
371;General San Martín;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;5;5
154;Sargento Cabral;22;Chaco;2024;Dengue;5;De 5 a 9 años;3;6
042;General López;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;9;2
252;Escobar;06;Buenos Aires;2024;Dengue;11;De 45 a 65 años;18;4
077;9 de Julio;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;9;16
005;COMUNA 5;02;CABA;2024;Dengue;9;De 25 a 34 años;15;12
056;Pirané;34;Formosa;2024;Dengue;11;De 45 a 65 años;11;33
084;Montecarlo;54;Misiones;2024;Dengue;11;De 45 a 65 años;13;2
049;Las Heras;50;Mendoza;2024;Dengue;6;De 10 a 14 años;15;30
049;Capital;10;Catamarca;2024;Dengue;7;De 15 a 19 años;10;82
035;Ledesma;38;Jujuy;2024;Dengue;9;De 25 a 34 años;15;21
539;Merlo;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;16;47
105;Tafí Viejo;90;Tucumán;2024;Dengue;12;Mayores de 65 años;16;27
113;Villaguay;30;Entre Ríos;2024;Dengue;4;De 2 a 4 años;12;6
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;7;13
042;Belgrano;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;10;1
056;Copo;86;Santiago del Estero;2024;Dengue;11;De 45 a 65 años;1;2
105;Mercedes;18;Corrientes;2024;Dengue;7;De 15 a 19 años;2;1
028;Guaymallén;50;Mendoza;2024;Dengue;7;De 15 a 19 años;12;28
056;Iriondo;82;Santa Fe;2024;Dengue;10;De 35 a 44 años;17;9
638;Pilar;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;17;9
091;Punilla;14;Córdoba;2024;Dengue;8;De 20 a 24 años;16;2
063;La Capital;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;7;24
035;Graneros;90;Tucumán;2024;Dengue;11;De 45 a 65 años;14;6
003;COMUNA 3;02;CABA;2024;Dengue;11;De 45 a 65 años;12;22
070;Las Colonias;82;Santa Fe;2024;Dengue;9;De 25 a 34 años;14;52
412;José C. Paz;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;11;52
084;Rosario;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;6;29
028;Capital;66;Salta;2024;Dengue;12;Mayores de 65 años;10;64
063;La Capital;82;Santa Fe;2024;Dengue;6;De 10 a 14 años;12;46
056;La Capital;74;San Luis;2024;Dengue;11;De 45 a 65 años;15;23
001;COMUNA 1;02;CABA;2024;Dengue;9;De 25 a 34 años;13;254
049;Capital;86;Santiago del Estero;2024;Dengue;8;De 20 a 24 años;8;17
056;Iriondo;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;13;5
084;Capital;90;Tucumán;2024;Dengue;6;De 10 a 14 años;8;33
021;Colón;14;Córdoba;2024;Dengue;6;De 10 a 14 años;16;33
004;COMUNA 4;02;CABA;2024;Dengue;9;De 25 a 34 años;13;44
749;San Fernando;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;9;24
999;desconocido;90;Tucumán;2024;Dengue;5;De 5 a 9 años;14;18
007;Anta;66;Salta;2024;Dengue;5;De 5 a 9 años;6;5
140;San Justo;14;Córdoba;2024;Dengue;7;De 15 a 19 años;11;123
035;General Pedernera;74;San Luis;2024;Dengue;4;De 2 a 4 años;18;3
028;Chacabuco;22;Chaco;2024;Dengue;4;De 2 a 4 años;4;15
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;9;De 25 a 34 años;18;9
999;desconocido;02;CABA;2024;Dengue;7;De 15 a 19 años;14;8
004;COMUNA 4;02;CABA;2024;Dengue;6;De 10 a 14 años;14;18
364;General Rodríguez;06;Buenos Aires;2024;Dengue;7;De 15 a 19 años;16;7
035;Patiño;34;Formosa;2024;Dengue;6;De 10 a 14 años;5;11
028;Capital;70;San Juan;2024;Dengue;11;De 45 a 65 años;16;17
007;Biedma;26;Chubut;2024;Dengue;10;De 35 a 44 años;14;3
840;Tres de Febrero;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;18;19
105;San Jerónimo;82;Santa Fe;2024;Dengue;8;De 20 a 24 años;8;10
014;Formosa;34;Formosa;2024;Dengue;4;De 2 a 4 años;6;3
014;Formosa;34;Formosa;2024;Dengue;7;De 15 a 19 años;14;9
007;Anta;66;Salta;2024;Dengue;8;De 20 a 24 años;20;3
042;Chimbas;70;San Juan;2024;Dengue;7;De 15 a 19 años;14;5
274;Florencio Varela;06;Buenos Aires;2024;Dengue;5;De 5 a 9 años;19;3
014;Capital;14;Córdoba;2024;Dengue;13;Sin Especificar;16;2
021;Castellanos;82;Santa Fe;2024;Dengue;4;De 2 a 4 años;16;2
056;Copo;86;Santiago del Estero;2024;Dengue;6;De 10 a 14 años;15;1
999;desconocido;99;desconocida;2024;Dengue;3;De 13 a 24 meses;11;6
112;Metán;66;Salta;2024;Dengue;3;De 13 a 24 meses;17;1
035;Chamical;46;La Rioja;2024;Dengue;4;De 2 a 4 años;15;1
270;Ezeiza;06;Buenos Aires;2024;Dengue;10;De 35 a 44 años;13;8
760;San Miguel;06;Buenos Aires;2024;Dengue;12;Mayores de 65 años;19;1
